video_id,title,channelId,channelTitle,transcription,description
sCTnDfnQpnI,Auxílio emergencial: Bolsonaro planeja prorrogar até o fim do ano com parcelas de R$ 250,UCj-RTZE-V3Q6jleatRR9k2A,O POVO Online,e o presidente jair bolsonaro planeja prorrogar o auxílio emergencial até o fim do ano o valor que será pago deve ser reduzido de 600 reais nos meses de setembro outubro novembro e dezembro de acordo com fontes que participam das discussões bolsonaro sinalizou a integrantes da equipe econômica que o valor seria de r$250 integrantes da área política do governo ainda tentam convencer bolsonaro a pagar um valor um pouco mais alto de 300reais valor que foi citado por bolsonaro a líderes no almoço nesta quarta-feira líderes de partidos porém querer a extensão até o fim do ano com uma parcela no patamar de 600 reais e outras de 300reais nesta quarta-feira em cerimônia na qual sancionou duas medidas provisórias que tratam do acesso ao crédito por pequenos empreendedores inclusive uma nova linha de crédito por meio de maquininha de cartão bolsonaro afirmou que pode assistir o cinema gerencial até o fim do ano mas com valor menor que os atuais r$600 pesa muito para união você não é dinheiro do povo porque não tá guardado endividamento é isso mesmo tá falando certo acho que torna o nome depois aí de vida mesmo e se o pai indivíduo é demais e acaba perdendo sua credibilidade para futuro então se você já é muito o paulo que as fotos alguém falou da economia de 200 eu acho que é pouco mas dá para chegar no meio termo e nós buscarmos que ele vem a ser prorrogado por mais alguns meses talvez até o final do ano de modo que nós consigamos sair dessa situação e fazendo porque os empregos e também os empregos formais vem com abuso informais voltem à normalidade e nós possamos então continuar naquele ritmo ascendente que terminamos e começamos o início deste ano que bom dia janete estava apontando para os melhores do mundo para o brasil depois de algumas décadas e de patinação vamos assim dizer o brasil tá patinava na questão da economia segundo bolsonaro a prorrogação do auxílio emergencial foi discutida nesta manhã com o presidente da câmara rodrigo maia a decisão de prorrogar o auxílio deve ser anunciada por bolsonaro até o fim desta semana o valor de r$250 é próximo ao que será pago no renda brasil programa social que o governo desenha para substituir o bolsa família e que o presidente quer que começa a ser pago em janeiro e e aí,"O presidente Jair Bolsonaro planeja prorrogar o auxílio emergencial até o fim do ano. O chefe do Executivo sinalizou a integrantes da equipe econômica que o valor seria de R$ 250. Membros da área política do governo ainda tentam convencer Bolsonaro a pagar um valor um pouco mais alto, de R$ 300, valor que foi citado por Bolsonaro a líderes num almoço nesta quarta-feira, 19/08/2020. 📰 Confira os destaques do dia e mais informações no portal O POVO:
https://www.opovo.com.br

REDES SOCIAIS
Twitter: http://twitter.com/opovoonline
Facebook: https://www.facebook.com/OPOVOOnline/
Instagram: https://www.instagram.com/opovoonline/"
xjt7Gn0KVjc,Auxílio emergencial deve ser prorrogado,UC-6xqzMBF2CXTImn_a4aCVg,Jornal O Globo,o presidente jair bolsonaro planeja prorrogar o auxílio emergencial até o fim do ano bolsonaro sinalizou a integrante da equipe econômica que o valor será reduzido para r$250 líderes de partidos porém querem extensão até o fim do ano com uma parcela no patamar de 600 gerais e outras no valor de 300 reais essa muito do povo porque não tá guardado é isso mesmo depois de mais um futuro então é muito alguém falou da economia e 200 eu acho que é pouco mas dá para chegar no meio termo e nós buscarmos que ele vem a ser prorrogado por mais alguns meses talvez até o final do ano a decisão de prorrogar e deve ser anunciado pelo presidente até o fim desta semana o valor de r$250 é próximo ao que será pago pelo renda brasil programa social que deve substituir o bolsa família pagamento do benefício contribuiu para aumentar a popularidade do presidente mas é um custo mensal de 50 bilhões de reais equivalente a mais de 17 vezes o gasto com bolsa família e é considerado insustentável para os cofres públicos e aí e aí,"O presidente Jair Bolsonaro planeja prorrogar o auxílio emergencial até o fim do ano. O valor que será pago deve ser reduzido de R$ 600 nos meses de setembro, outubro, novembro e dezembro, de acordo com fontes que participam das discussões. Bolsonaro sinalizou a integrantes da equipe econômica que o valor seria de R$ 250. Integrantes da área política do governo ainda tentam convencer Bolsonaro a pagar um valor um pouco mais alto, de R$ 300, valor que foi citado por Bolsonaro a líderes num almoço nesta quarta-feira. Líderes de partidos, porém, querem a extensão até o fim do ano, com uma parcela no patamar de R$ 600 e outras de R$ 300.ASSINE O GLOBO: http://assineoglobo.globo.com/INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 O SITE: https://www.oglobo.globo.comOS PODCASTS: https://oglobo.globo.com/podcast/O FACEBOOK: https://www.facebook.com/jornalogloboO TWITTER: https://twitter.com/jornalogloboO INSTAGRAM: https://www.instagram.com/jornaloglobo/AS NEWSLETTERS: https://oglobo.globo.com/newsletter/cardapio/"
nA0g2Y0HRk4,Auxílio emergencial deve ser prorrogado,UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,eu quero acelera a criação do renda brasil programa que vai ampliar o bolsa família faz até lá deve estender o pagamento do auxílio emergencial com o valor menor em diante do pagamento da última parcela do auxílio emergencial o governo tem como prioridade agora encontrar uma solução que atenda os 64 milhões de brasileiros cadastrados de olho na popularidade a maior aposta do presidente bolsonaro é a criação do renda brasil além de atender a 14 milhões de beneficiários do bolsa família a ideia do novo programa social é incorporar cerca de 7 milhões de pessoas mais pobres que apareceram no cadastramento do auxílio a equipe econômica estuda um pagamento mensal de 300 reais e querem incluir a medida na proposta de emenda constitucional do pacto federativo daí o nosso cuidado agora de ver como é que esse auxílio emergencial tem que se transformar em algo fiscalmente responsável sem populismo nada disso como é que nós podemos focalizar alguns programas sociais e de forma que o programa seja sustentável para ajudar a recuperação econômica com a retomada do emprego a outros trabalhadores o governo prevê ainda um programa que simplifica contratações a carteira verde-amarela tem quanto renda brasil não sai do papel jair bolsonaro deve bater o martelo sobre a provocação do auxílio emergencial até o fim do ano apesar da pressão de senadores o presidente deve baixar o valor do benefício o polo que alguém falou da economia e 200 eu acho que a pouco mas dá para chegar no meio termo e nós buscarmos que ele vem a ser prorrogado por mais alguns meses talvez até o final do ano o presidente da câmara também a favor de manter o pagamento mas reconhece que a situação fiscal do país e pede uma ajuda no valor atual,O presidente Jair Bolsonaro planeja prorrogar o auxílio emergencial até o fim do ano. Bolsonaro disse que o valor dos próximos meses será menor que os 600 reais.Instagram: https://www.instagram.com/bandnewstv/Twitter: https://twitter.com/bandnewsFacebook: https://www.facebook.com/BandNews/Baixe o nosso aplicativo para mais notícias!Android: http://bit.ly/2HwTQDKIOS: https://apple.co/2SDNxEY
sOzOCmYwkn0,Ruptura de tubulação da barragem de transposição do São Francisco leva à evacuação de 2 mil pessoas,UCj-RTZE-V3Q6jleatRR9k2A,O POVO Online,os moradores da região próxima à barragem do município de jati passaram a ser evacuados do local na madrugada deste sábado a medida deve retirar cerca de duas mil pessoas de suas casas em um raio de 2 km ao redor do reservatório a ação ocorre após rompimento de uma das redes de tubulação da barragem nesta sexta-feira a estrutura foi construída para receber águas da transposição do rio são francisco e abastecer o ceará imagens obtidas pelo povo mostra um momento do rompimento da tubulação da barragem em jati nesta sexta-feira a evacuação foi confirmada pelo ministério do desenvolvimento regional a pasta frisou que o vazamento já foi solucionado e que a evacuação ocorre de forma preventiva zelando pela preservação de vidas em primeiro lugar diz a nota do órgão o principal motivo da evacuação ea dificuldade de avaliação técnica do local do rompimento de um dos condutos da barragem bem como da é um fator que estaria agravando a dificuldade de um parecer técnico no local seria a falta de iluminação adequada conforme ponto o ministério do desenvolvimento regional o governador camilo santana já está no local com eles estão e secretários francisco teixeira dos recursos hídricos e chagas vieira da imprensa eles chegaram e já tide helicóptero segundo o ministério do desenvolvimento regional os moradores estão sendo comunicados da necessidade de se retirarem do local por meio de carros de som que percorrem as vias da cidade profissionais da defesa civil e trabalhadores da empresa que gerencia a barragem foram convocados para ajudar na divulgação do alerta visitando residência por residência as famílias receberão auxílio para se deslocarem em direção ao hotéis pousadas e alojamentos na região ou para irem até a casa de parentes e amigos que mora em mais afastados da barragem segundo informou o ministério e a situação deve se manter até que sejam feitas todas as avaliações técnicas as estruturas do reservatório ponto o ministério a ruptura ocorreu um dia após a comporta do reservatório jati no interior do ceará será acionada para liberar as águas do são francisco para o abastecimento do estado ainda na sexta-feira por volta das 10 horas da noite o corpo de bombeiros confirmou ao povo que nenhum dano ou alagamento foi causado em residências da região mas o titular da secretaria dos recursos hídricos do ceará francisco teixeira havia pontuado preocupação de que o fluxo de água liberado pelo vazamento causasse um processo de erosão em alguma parte no entorno da infraestrutura da barragem o estouro da tubulação ocorreu após falha em uma das tomadas da água que controlam as comportas de vazão do reservatório com vazamento o sistema elétrico da barragem ficou comprometido e foi necessário a instalação de um gerador para garantir que a com porta fosse fechada o fim do vazamento técnicos de manutenção e engenheiros da obra estão no local desde o início do vazamento na tarde de sexta-feira,"Moradores da região próxima a barragem do município de Jati, no Ceará, passaram a ser evacuados do local na madrugada deste sábado, 22. A estrutura foi construída para receber águas da Transposição do rio São Francisco e abastecer o Ceará. Medida deve retirar cerca de 2 mil pessoas de suas casas em um raio de dois quilômetros ao redor do reservatório. Ação ocorre após rompimento de uma das redes de tubulação da Barragem nesta sexta-feira, 21. Estrutura foi construída para receber águas da Transposição do rio São Francisco e abastecer o Ceará.📰 Confira os destaques do dia e mais informações no portal O POVO:
https://www.opovo.com.br

REDES SOCIAIS
Twitter: http://twitter.com/opovoonline
Facebook: https://www.facebook.com/OPOVOOnline/
Instagram: https://www.instagram.com/opovoonline/"
PXsLlVWR0VM,Novo tremor de terra atinge a Bahia e assusta moradores,UCwVmZjJwkCUCOes5_eAIebg,Fala Brasil,"é bom novo tremor de terra foi registrado na madrugada de hoje na bahia que já tá ficou muito em festa tô com medo já né e um terremoto de 4,6 graus na escala richter e no final de semana assustou os moradores foram mais de 10 tremores de terra neste domingo no município de santo antônio de jesus os produtos das prateleiras de mercados caíram a câmera de segurança de uma casa perdeu o foco ea estabilidade o vi tudo balançando já cama a porta no meu guarda-roupa abriu o neném tava com celular o jogo você vai cima da cama em castro alves até os cachorros na rua se assustaram na cidade de são miguel das matas as paredes desse prédio um racharam em salvador a 167 km de amargosa também foi possível sentir tremores secundários eu coloquei a mão na parede assim achando que eu tava me sentindo mal é só que foi muito rápido ele 15 segundos mais ou menos passando o terremoto foi sentido em várias cidades do recôncavo baiano e vale do jequiriçá o epicentro teria sido na cidade de amargosa onde o tremor alcançou 4.6 na escala richter foi a pior sensação que eu tive a gente não entendeu que ela acontecendo a gente eu a gente achou que fosse alguma coisa na casa de trás foi um pouco melhor apavorante né a gente aqui na cidade e nunca acostumado a ouvir essas coisas e o povo fica um pouco meio em pânico né nas férias um de teve maior magnitude o terremoto durou cerca de 20 segundos geólogos da rede sismográfica do brasil e também nos estados unidos registraram o fenômeno especialistas disseram que tremores e terra na região do recôncavo baiano são comuns por questões de localização geográfica mas desta vez foram bem mais fortes a soma desses aí o que são falhas geológicas que estão sendo reativados na região a região do recôncavo baiano a região conhecidamente uma região sismicamente ativa desde o começo do século 20 e agora parece que a gente tá tendo novo uma nova um novo nova série de eventos sísmicos os moradores do recôncavo baiano até já conseguem diferenciar os tremores acredito que ano passado por teve um que foi um pouco mais suave e esse não só cuido bastante de acordar as pessoas estavam dormindo a cama saco dia muito de um lado para o outro e os vidros balançaram bastante fez bastante barulho oi gente ó esse terremoto que aconteceu hoje na bahia teria sido de três pontos 5 graus na escala richter o tremor foi as três e 40 da manhã e também foi sentido em cidades vizinhas de mutuipe com amargosa e santo antônio de jesus no recôncavo baiano os pesquisadores devem chegar na rede na região para estudar o solo e tentar confirmar o local exato do deslocamento de terra os especialistas dizem ainda que a possibilidade de outros terremotos na bahia tem de tudo mesmo em 2020 né não tem","Um novo tremor de terra foi registrado, na madrugada desta segunda-feira (31), na Bahia. As cidades mais afetadas foram Amargosa, Brejões e Elísio Medrado no Recôncavo do estado. Ainda não há detalhes sobre magnitude do novo fenômeno. No final de semana os moradores sofreram com a apreensão após acordarem assustados com um terremoto de 4,6 na escala Richter. Nosso Whatsapp: https://falabrasil.r7.com/whatsappInscreva-se no canal Fala Brasil:   http://r7.com/ZOTLAssista às íntegras no PlayPlus:   https://www.playplus.comFacebook:    https://www.facebook.com/falabrasil/Instagram:    https://www.instagram.com/fala_brasil/Twitter:   https://twitter.com/fala_brasilSite oficial:    https://recordtv.r7.com/fala-brasil#FalaBrasil #SalcyLima #CamilaBusnello"
zwyUSkpASx8,Auxílio emergencial: Benefício é prorrogado até dezembro,UC-6xqzMBF2CXTImn_a4aCVg,Jornal O Globo,e a Caixa Econômica Federal vai abrir 770 agências em todo o país no sábado dia cinco para os pagamentos do auxílio emergencial e do FGTS o funcionamento será das 8 horas da manhã ao meio-dia os trabalhadores nascidos de Janeiro abriu vão poder fazer o saque e espécie de até 1045 reais do FGTS aqueles que fazem aniversário de Janeiro a Setembro poderão sacar o benefício de 600 reais o governo federal publicou no Diário Oficial no último dia três de Setembro a medida provisória que libera quase 68 bilhões de reais para prorrogar o auxílio emergencial até dezembro além dela foi publicada a medida provisória que define o valor de 300 reais para as próximas quatro parcelas o pagamento também está garantido aos beneficiários do Bolsa Família e aqueles que se inscreveram pelo aplicativo da caixa até o dia dois de julho desde que ainda se um dos critérios para o recebimento e E aí,"A Caixa Econômica Federal vai abrir 770 agências em todo o país, neste sábado,  para pagamentos do auxílio emergencial e do Fundo de Garantia do Tempo de Serviço (FGTS). O funcionamento será das 8h ao meio-dia. Os trabalhadores nascidos de janeiro e abril poderão fazer o saque em espécie de até R$ 1.045 do FGTS. Aqueles que fazem aniversário de janeiro a setembro poderão sacar o benefício de R$ 600. O governo federal publicou no Diário Oficial da União a Medida Provisória, que libera R$ 67,6 bilhões para prorrogar o auxílio emergencial até dezembro. Além dela, também foi publicada a MP que define o valor de R$ 300 para as próximas quatro parcelas.  ASSINE O GLOBO: http://assineoglobo.globo.com/INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 O SITE: https://www.oglobo.globo.comOS PODCASTS: https://oglobo.globo.com/podcast/O FACEBOOK: https://www.facebook.com/jornalogloboO TWITTER: https://twitter.com/jornalogloboO INSTAGRAM: https://www.instagram.com/jornaloglobo/AS NEWSLETTERS: https://oglobo.globo.com/newsletter/cardapio/"
O_0tWz69oSE,Os Pingos Nos Is - 09/09/20,UCzjtGnD7qqeaHW3nvDVrjQA,Os Pingos nos Is,há 150 milhões de reais do sistema S Fluminense a operação de hoje se chama esquema é esse é um desdobramento da lava-jato ela se baseia na delação premiada do ex-presidente da Fecomércio Orlando Diniz e controlava as entidades aquele que descemos ontem aqui também dela ator Felipe Santa Cruz presidente da OAB entre os alvos dos 50 mandados de busca e apreensão estão os advogados Cristiano Zanin que trabalha na defesa do ex presidiário Lula e Frederico Assef advogado do senador Flávio bolsonaro Além disso o escritório de Ana Tereza Basílio também está na mira da pf é apontada como uma das chefes do esquema que supostamente gerenciava propinas a agentes públicos segundo as investigações também fazem parte da organização criminosa os advogados Marcelo Almeida Roberto Teixeira Fernando hargreaves Vladimir Espíndola e José Roberto Sampaio Eduardo Martins Filho do atual e do Superior Tribunal de Justiça Ministro Humberto Martins foi implicado pela PF da mesma forma o ex-governador Sérgio Cabral EA esposa dele Adriana Ancelmo Cristiano Zanin que virou Réu e Roberto Teixeira são apontados pela denúncia da força-tarefa como responsáveis por reunir e aprovar propostas de escritórios de advocacia nos postos a blindagem,Inscreva-se no nosso canal:http://www.youtube.com/ospingosnosis Entre no nosso site:http://jovempan.com.br/Facebook:https://www.facebook.com/OsPingosnosIsOficial/Siga no Twitter:https://twitter.com/JovemPanNewsInstagram:https://www.instagram.com/jovempannews/#JovemPan#OsPingosNosIs
yTuU2HUlJOg,"Parrerito, do Trio Parada Dura, morre em BH vítima da covid-19",UCwVmZjJwkCUCOes5_eAIebg,Fala Brasil,e será enterrado hoje o corpo do cantor Barrerito do Trio Parada Dura em Belo Horizonte aos 67 anos e diabético ele passou os últimos 16 dias internado com covid-19 e Barrerito Fez história com diversas canções que embalaram os fãs do Trio Parada Dura e é mas a covid-19 interrompeu os planos do artista que ainda fez uma live com o grupo antes de ser diagnosticado com a doença antes Seu chapéu chorando atualmente o Trio Parada Dura era formado pelos músculos Barrerito Creone xonadão os outros dois integrantes da banda fizeram o exame e testaram negativo para coronavírus a esposa de Barrerito também foi diagnosticada com a cor 2019 mas se recuperava em casa os sertanejos estava internado nesse Hospital particular em Belo Horizonte desde o dia 31 de agosto chegou à unidade com sintomas da doença e por ser do grupo de risco pela idade e diabético precisou ser mantido na UTI o sertanejo começou a apresentar melhoras durante a semana mas na noite deste domingo o quadro de saúde piorou a família tentou transferir o cantor para o hospital em São é mas os médicos Disseram que ele estava bastante debilitado e que a viagem era um risco para o paciente as 10 horas da noite a morte do cantor foi confirmada rapidamente a notícia se espalhou nas redes sociais Barrerito nasceu em São Fidélis no Rio de Janeiro mas construiu a carreira com Trio Parada Dura em Minas Gerais ele morava com a família em Contagem na região metropolitana de Belo Horizonte o artista deixa esposa filhas e netos e,"Será enterrado nesta segunda-feira (14) o cantor Parrerito, do Trio Parada Dura, em Belo Horizonte. Aos 67 anos e diabético, ele passou os últimos 16 dias internado com covid-19 e não resistiu as complicações da doença. O Trio Parada Dura é um dos grupos mais conhecidos da música sertaneja no Brasil.Nosso Whatsapp: https://falabrasil.r7.com/whatsappInscreva-se no canal Fala Brasil:   http://r7.com/ZOTLAssista às íntegras no PlayPlus:   https://www.playplus.comFacebook:    https://www.facebook.com/falabrasil/Instagram:    https://www.instagram.com/fala_brasil/Twitter:   https://twitter.com/fala_brasilSite oficial:    https://recordtv.r7.com/fala-brasil#FalaBrasil #SalcyLima #CamilaBusnello"
KUF70LK36pc,Traficante Elias Maluco é encontrado morto na prisão,UCb40meUp8tmOohWKaBWvs9w,RedeTV! Jornalismo,Olá Esse vídeo é um oferecimento RedeTV Plus assine agora para ver todas as vantagens e concorrer a prêmios diariamente acesse www.retratus.com.br Oi boa noite Siqueira Boa noite elenco muito boa noite a você de casa Siqueira foi encontrado morto hoje à tarde na cela do presídio federal de Catanduvas no Paraná o traficante Elias Pereira da Silva mais conhecido como Elias Maluco ele tinha 54 anos ele estava preso desde 2002 acusado da morte do jornalista Tim Lopes ele também tinha outras acusações que somavam 46 anos de pena é uma nota né enviada pelo depen que é o departamento penitenciário Nacional informa que o corpo de Elias foi encontrado na cela e que o local foi preservado eles estavam aguardando uma equipe de perícia da Polícia Federal para fazer né Toda a perícia no local e que assim que essa perícia e o corpo de Elias Maluco segue para o IML da cidade de Cascavel também no Paraná onde vai aguardar por um familiar para que seja feito um reconhecimento EA liberação do corpo Vale lembrar ou cê queira que Elias Maluco foi um dos maiores traficantes aqui do Rio de Janeiro ele era um dos principais líderes da maior facção criminosa aqui do estado e comandou por muitos anos o tráfico no Complexo do Alemão né que é um complexo de favelas que fica na zona norte da cidade a qualquer momento Siqueira a gente pode voltar com mais informações Rodrigo Assis direto do Rio de Janeiro para o alerta nas,"O traficante Elias Pereira da Silva, conhecido como Elias Maluco, foi encontrado morto na tarde desta terça-feira (22) na Penitenciária Federal de Catanduvas, no Paraná, segundo informações do Departamento Penitenciário (Depen). Ele foi detido em setembro de 2002 e, em 2005, foi condenado a 28 anos e seis meses de prisão pela morte do jornalista Tim Lopes.Esse vídeo é um oferecimento RedeTV! Plus. Assine agora para ter todas as vantagens e concorrer a prêmios diariamente. Acesse: www.redetvplus.com.br"
_PGR_EK1dYE,#VazaJato: Deltan explica plano para desafeto não virar juiz da Lava Jato,UCNqzAD9EiECreuH6LA8IYeA,The Intercept Brasil,eu falei com a Gisele é a Gisele falou que falou com a corregedoria do tribunal com Eliana e Eliana conversou com Júlio e Júlio teria assumido um compromisso de desistir ouvido que levar para Curitiba então qualquer ideia a ideia que ele até o dia 24 desista ou que existe um arranjo de modo que outra pessoa o segundo lugar o friedman que hoje é um segundo lugar depois do Júlio Vá para vara e aí o Júlio iria para o lugar do filho uma razão do Júlio que ir para Curitiba mesmo o fato Ele tem uma namorada ali a corregedoria falou que ele não tem perfil para ir para lá por ele tem um temperamento nesse diferente e ele teria aceito a ver com a condição de que ele venha para Curitiba em um lugar de outra pessoa então é hoje o que precisaria fazer será Convencer O Nivaldo ou Danilo aí para vara 13ª Vara E aí isso ajuda a dia inclusive já tem umas oito que o Danilo vai para lá é a branca e E aí para uma vara criminal e ela tá nova previdenciária aí A Bianca é para Criminal o Danilo vai para 13ª Abrir é que vai no lugar dele para Criminal e o Júlio e deu para previdenciária e todo mundo ficaria feliz vamos ver se a pessoa acontecer você não tiver nenhuma surpresa até lá agora o povo então seria focar agora no Nivaldo e no Danilo agora tem mais um pouco ela falou o pessoal falou com o Marcelo Marcelo Malucelli Marcelo Nova série também peremptoriamente nego ele não tá no páreo não vai entrar de jeito nenhum o número um também aquele Bonatti não vai e a Gisele não disse que assim disse que não quer ir mas ela te falou a qualquer coisa tiver algum problema Me liga Ela deixou acho que uma abertura para comuns rodar de revela mas é eu até falei o óleo de qualquer modo se quiser ir a gente vai ficar contente e tal mas ela falou não Então é assim agora tamo conversando com as outra possibilidade mas ela o transporte totalmente vamos continuar tempo e vamos para os próximos passos abraços,"#VazaJato 🎧:  ÁUDIO_ Em áudio enviado pelo Telegram, o procurador Deltan Dallagnol explica como ele e colegas trabalharam para garantir que o sucessor de Sergio Moro como juiz da Lava Jato fosse alguém alinhado à operação.Leia a reportagem completa: https://theintercept.com/2020/10/13/deltan-dallagnol-lava-jato-interferiu-substituto-sergio-moro/Vem fazer parte do TIB também: https://interc.pt/2KLBJi0
Inscreva-se no canal e ative o sininho para receber as notificações: http://bit.ly/2vrZW2z
Siga-nos em nossas redes:
- TWITTER: http://bit.ly/2vrBfn0
- FACEBOOK: http://bit.ly/2LYavoq
- INSTAGRAM: http://bit.ly/2KzrTKo
- NEWSLETTER: http://interc.pt/ytNews
- FLIPBOARD: https://flipboard.com/@TheInterceptBr
- GOOGLE NEWS: http://interc.pt/newsintercept

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com"
