video_id,title,transcription,summary,ideal_summary
sCTnDfnQpnI,Auxílio emergencial: Bolsonaro planeja prorrogar até o fim do ano com parcelas de R$ 250,o presidente jair bolsonaro planeja prorrogar o auxílio emergencial até o fim do ano o valor que será pago deve ser reduzido de 600 reais nos meses de setembro outubro novembro dezembro de acordo com fontes que participam das discussões bolsonaro sinalizou integrantes da equipe econômica que o valor seria de r$250 integrantes da área política do governo ainda tentam convencer bolsonaro pagar um valor um pouco mais alto de 300reais valor que foi citado por bolsonaro líderes no almoço nesta quarta-feira líderes de partidos porém querer extensão até o fim do ano com uma parcela no patamar de 600 reais outras de 300reais nesta quarta-feira em cerimônia na qual sancionou duas medidas provisórias que tratam do acesso ao crédito por pequenos empreendedores inclusive uma nova linha de crédito por meio de maquininha de cartão bolsonaro afirmou que pode assistir o cinema gerencial até o fim do ano mas com valor menor que os atuais r$600 pesa muito para união você não é dinheiro do povo porque não tá guardado endividamento é isso mesmo tá falando certo acho que torna o nome depois aí de vida mesmo se o pai indivíduo é demais acaba perdendo sua credibilidade para futuro se você já é muito o paulo que as fotos alguém falou da economia de 200 eu acho que é pouco mas dá para chegar no meio termo nós buscarmos que ele vem ser prorrogado por mais alguns meses talvez até o final do ano de modo que nós consigamos sair dessa situação fazendo porque os empregos também os empregos formais vem com abuso informais voltem à normalidade nós possamos continuar naquele ritmo ascendente que terminamos começamos o início deste ano que bom dia janete estava apontando para os melhores do mundo para o brasil depois de algumas décadas de patinação vamos dizer o brasil tá patinava na questão da economia segundo bolsonaro prorrogação do auxílio emergencial foi discutida nesta manhã com o presidente da câmara rodrigo maia decisão de prorrogar o auxílio deve ser anunciada por bolsonaro até o fim desta semana o valor de r$250 é próximo ao que será pago no renda brasil programa social que o governo desenha para substituir o bolsa família que o presidente quer que começa ser pago em janeiro,"O presidente Jair Bolsonaro planeja estender o auxílio emergencial até o fim do ano, com valor reduzido para R$250, apesar das discussões com líderes partidários que buscam um valor maior, de até R$600. A decisão, que visa equilibrar o endividamento e a credibilidade do país, deve ser anunciada esta semana, com o novo valor se aproximando do que será pago no futuro programa Renda Brasil, substituto do Bolsa Família.","Valor do auxílio emergencial até o fim do ano deve ser reduzido para 300reais, segundo fontes do governo. O presidente jair bolsonaro anunciou que o valor deve ser prorrogado por mais alguns meses talvez até o final do ano de modo que nós consigamos sair dessa situação fazendo porque os empregos também os empregos formais vem com abuso informais voltem à normalidade e possamos continuar naquele ritmo ascendente que terminamos o início deste ano. A prorrogação do benefício emergencial foi discutida nesta manhã com o presidente da câmara, rodrigo maia. O valor é próximo ao que será pago no renda brasil programa social que o governo desenha para substituir o bolsa família."
xjt7Gn0KVjc,Auxílio emergencial deve ser prorrogado,o presidente jair bolsonaro planeja prorrogar o auxílio emergencial até o fim do ano bolsonaro sinalizou integrante da equipe econômica que o valor será reduzido para r$250 líderes de partidos porém querem extensão até o fim do ano com uma parcela no patamar de 600 gerais outras no valor de 300 reais essa muito do povo porque não tá guardado é isso mesmo depois de mais um futuro é muito alguém falou da economia 200 eu acho que é pouco mas dá para chegar no meio termo nós buscarmos que ele vem ser prorrogado por mais alguns meses talvez até o final do ano decisão de prorrogar deve ser anunciado pelo presidente até o fim desta semana o valor de r$250 é próximo ao que será pago pelo renda brasil programa social que deve substituir o bolsa família pagamento do benefício contribuiu para aumentar popularidade do presidente mas é um custo mensal de 50 bilhões de reais equivalente mais de 17 vezes o gasto com bolsa família é considerado insustentável para os cofres públicos,"Jair Bolsonaro pretende prorrogar o auxílio emergencial até o fim do ano, com redução para R$250, apesar de líderes partidários buscarem parcelas de R$600 ou R$300. A decisão será anunciada esta semana, e o valor de R$250 é similar ao que será pago no Renda Brasil, programa social que substituirá o Bolsa Família. O benefício atual, com custo de R$50 bilhões mensais, é considerado insustentável.",Auxílio emergencial: o presidente jair bolsonaro planeja prorrogar auxílio emergencial até o fim do ano. O valor será reduzido para r$250. Líderes de partidos querem extensão até o final do ano com uma parcela no patamar de 600 gerais outras no valor de 300 reais.
nA0g2Y0HRk4,Auxílio emergencial deve ser prorrogado,eu quero acelera criação do renda brasil programa que vai ampliar o bolsa família faz até lá deve estender o pagamento do auxílio emergencial com o valor menor em diante do pagamento da última parcela do auxílio emergencial o governo tem como prioridade agora encontrar uma solução que atenda os 64 milhões de brasileiros cadastrados de olho na popularidade maior aposta do presidente bolsonaro é criação do renda brasil além de atender 14 milhões de beneficiários do bolsa família ideia do novo programa social é incorporar cerca de 7 milhões de pessoas mais pobres que apareceram no cadastramento do auxílio equipe econômica estuda um pagamento mensal de 300 reais querem incluir medida na proposta de emenda constitucional do pacto federativo daí o nosso cuidado agora de ver como é que esse auxílio emergencial tem que se transformar em algo fiscalmente responsável sem populismo nada disso como é que nós podemos focalizar alguns programas sociais de forma que o programa seja sustentável para ajudar recuperação econômica com retomada do emprego outros trabalhadores o governo prevê ainda um programa que simplifica contratações carteira verde-amarela tem quanto renda brasil não sai do papel jair bolsonaro deve bater o martelo sobre provocação do auxílio emergencial até o fim do ano apesar da pressão de senadores o presidente deve baixar o valor do benefício o polo que alguém falou da economia 200 eu acho que pouco mas dá para chegar no meio termo nós buscarmos que ele vem ser prorrogado por mais alguns meses talvez até o final do ano o presidente da câmara também favor de manter o pagamento mas reconhece que situação fiscal do país pede uma ajuda no valor atual,"O governo prioriza a criação do Renda Brasil para ampliar o Bolsa Família e estender o auxílio emergencial com valor menor, possivelmente R$300, para os 64 milhões de brasileiros cadastrados. A medida visa ser fiscalmente responsável e sustentável, ajudando na recuperação econômica e retomada de empregos. Bolsonaro deve decidir sobre a prorrogação do auxílio até o fim do ano, mesmo com pressão por valores mais altos.","Governo quer acelerar criação do renda brasil, programa que vai ampliar o bolsa família, mas deve estender o pagamento até lá, com o valor menor em diante do pagamento da última parcela do auxílio emergencial. O governo tem como prioridade agora encontrar uma solução que atenda os 64 milhões de brasileiros cadastrados de olho na popularidade. A ideia do novo programa social é incorporar cerca de 7 milhões de pessoas mais pobres que apareceram no cadastro do auxílio."
sOzOCmYwkn0,Ruptura de tubulação da barragem de transposição do São Francisco leva à evacuação de 2 mil pessoas,os moradores da região próxima à barragem do município de jati passaram ser evacuados do local na madrugada deste sábado medida deve retirar cerca de duas mil pessoas de suas casas em um raio de 2 km ao redor do reservatório ação ocorre após rompimento de uma das redes de tubulação da barragem nesta sexta-feira estrutura foi construída para receber águas da transposição do rio são francisco abastecer o ceará imagens obtidas pelo povo mostra um momento do rompimento da tubulação da barragem em jati nesta sexta-feira evacuação foi confirmada pelo ministério do desenvolvimento regional pasta frisou que o vazamento já foi solucionado que evacuação ocorre de forma preventiva zelando pela preservação de vidas em primeiro lugar diz nota do órgão o principal motivo da evacuação ea dificuldade de avaliação técnica do local do rompimento de um dos condutos da barragem bem como da é um fator que estaria agravando dificuldade de um parecer técnico no local seria falta de iluminação adequada conforme ponto o ministério do desenvolvimento regional o governador camilo santana já está no local com eles estão secretários francisco teixeira dos recursos hídricos chagas vieira da imprensa eles chegaram já tide helicóptero segundo o ministério do desenvolvimento regional os moradores estão sendo comunicados da necessidade de se retirarem do local por meio de carros de som que percorrem as vias da cidade profissionais da defesa civil trabalhadores da empresa que gerencia barragem foram convocados para ajudar na divulgação do alerta visitando residência por residência as famílias receberão auxílio para se deslocarem em direção ao hotéis pousadas alojamentos na região ou para irem até casa de parentes amigos que mora em mais afastados da barragem segundo informou o ministério situação deve se manter até que sejam feitas todas as avaliações técnicas as estruturas do reservatório ponto o ministério ruptura ocorreu um dia após comporta do reservatório jati no interior do ceará será acionada para liberar as águas do são francisco para o abastecimento do estado ainda na sexta-feira por volta das 10 horas da noite o corpo de bombeiros confirmou ao povo que nenhum dano ou alagamento foi causado em residências da região mas o titular da secretaria dos recursos hídricos do ceará francisco teixeira havia pontuado preocupação de que o fluxo de água liberado pelo vazamento causasse um processo de erosão em alguma parte no entorno da infraestrutura da barragem o estouro da tubulação ocorreu após falha em uma das tomadas da água que controlam as comportas de vazão do reservatório com vazamento o sistema elétrico da barragem ficou comprometido foi necessário instalação de um gerador para garantir que com porta fosse fechada o fim do vazamento técnicos de manutenção engenheiros da obra estão no local desde o início do vazamento na tarde de sexta-feira,"Moradores próximos à barragem de Jati, no Ceará, foram evacuados preventivamente após o rompimento de uma tubulação que faz parte da transposição do Rio São Francisco. A evacuação de cerca de duas mil pessoas ocorre pela dificuldade de avaliação técnica no local, que ficou sem iluminação. O vazamento foi solucionado, mas a situação se mantém até a completa avaliação das estruturas.","Municípios próximos à barragem de Jati passam a ser evacuados da região. A medida deve retirar cerca de duas mil pessoas de suas casas em um raio de 2 km ao redor do reservatório. A ação ocorre após rompimento de uma das redes de tubulação da barragem nesta sexta-feira. A evacuação foi confirmada pelo ministério do desenvolvimento regional, que frisou que o vazamento já foi solucionado e que evacuação ocorre de forma preventiva zelando pela preservação de vidas. O principal motivo da evacuação ea dificuldade de avaliação técnica do local do rompimento de um dos condutos da barragem bem como da é um fator que estaria agravando dificuldade de um parecer técnico no local."
PXsLlVWR0VM,Novo tremor de terra atinge a Bahia e assusta moradores,"é bom novo tremor de terra foi registrado na madrugada de hoje na bahia que já tá ficou muito em festa tô com medo já um terremoto de 4,6 graus na escala richter no final de semana assustou os moradores foram mais de 10 tremores de terra neste domingo no município de santo antônio de jesus os produtos das prateleiras de mercados caíram câmera de segurança de uma casa perdeu o foco ea estabilidade o vi tudo balançando já cama porta no meu guarda-roupa abriu o neném tava com celular o jogo você vai cima da cama em castro alves até os cachorros na rua se assustaram na cidade de são miguel das matas as paredes desse prédio um racharam em salvador 167 km de amargosa também foi possível sentir tremores secundários eu coloquei mão na parede achando que eu tava me sentindo mal é só que foi muito rápido ele 15 segundos mais ou menos passando o terremoto foi sentido em várias cidades do recôncavo baiano vale do jequiriçá o epicentro teria sido na cidade de amargosa onde o tremor alcançou 4.6 na escala richter foi pior sensação que eu tive gente não entendeu que ela acontecendo gente eu gente achou que fosse alguma coisa na casa de trás foi um pouco melhor apavorante gente aqui na cidade nunca acostumado ouvir essas coisas o povo fica um pouco meio em pânico nas férias um de teve maior magnitude o terremoto durou cerca de 20 segundos geólogos da rede sismográfica do brasil também nos estados unidos registraram o fenômeno especialistas disseram que tremores terra na região do recôncavo baiano são comuns por questões de localização geográfica mas desta vez foram bem mais fortes soma desses aí o que são falhas geológicas que estão sendo reativados na região região do recôncavo baiano região conhecidamente uma região sismicamente ativa desde o começo do século 20 agora parece que gente tá tendo novo uma nova um novo nova série de eventos sísmicos os moradores do recôncavo baiano até já conseguem diferenciar os tremores acredito que ano passado por teve um que foi um pouco mais suave esse não só cuido bastante de acordar as pessoas estavam dormindo cama saco dia muito de um lado para o outro os vidros balançaram bastante fez bastante barulho oi gente ó esse terremoto que aconteceu hoje na bahia teria sido de três pontos 5 graus na escala richter o tremor foi as três 40 da manhã também foi sentido em cidades vizinhas de mutuipe com amargosa santo antônio de jesus no recôncavo baiano os pesquisadores devem chegar na rede na região para estudar o solo tentar confirmar o local exato do deslocamento de terra os especialistas dizem ainda que possibilidade de outros terremotos na bahia tem de tudo mesmo em 2020 não tem","Um novo tremor de terra de 3.5 graus foi registrado na Bahia na madrugada de hoje, somando-se a mais de 10 tremores no fim de semana, incluindo um de 4.6 graus na escala Richter, que assustou moradores. O epicentro foi em Amargosa, e os abalos foram sentidos em várias cidades do Recôncavo Baiano. Especialistas afirmam que tremores são comuns na região, mas estes foram mais fortes devido à reativação de falhas geológicas.","O terremoto de 4,6 graus na escala richter no final de semana assustou os moradores do recôncavo baiano. O epicentro teria sido na cidade de amargosa, onde o tremor alcançou 4.6 na escala. O terremoto durou cerca de 20 segundos. Os moradores já perceberam que a região é conhecida como uma região sismicamente ativa desde o começo do século 20."
zwyUSkpASx8,Auxílio emergencial: Benefício é prorrogado até dezembro,caixa econômica federal vai abrir 770 agências em todo o país no sábado dia cinco para os pagamentos do auxílio emergencial do fgts o funcionamento será das 8 horas da manhã ao meio-dia os trabalhadores nascidos de janeiro abriu vão poder fazer o saque espécie de até 1045 reais do fgts aqueles que fazem aniversário de janeiro setembro poderão sacar o benefício de 600 reais o governo federal publicou no diário oficial no último dia três de setembro medida provisória que libera quase 68 bilhões de reais para prorrogar o auxílio emergencial até dezembro além dela foi publicada medida provisória que define o valor de 300 reais para as próximas quatro parcelas o pagamento também está garantido aos beneficiários do bolsa família aqueles que se inscreveram pelo aplicativo da caixa até o dia dois de julho desde que ainda se um dos critérios para o recebimento,"A Caixa Econômica Federal abrirá 770 agências neste sábado, dia cinco, para os pagamentos do auxílio emergencial e do FGTS. O funcionamento será das 8h ao meio-dia. Trabalhadores nascidos entre janeiro e abril poderão sacar até R$1.045 do FGTS, e os aniversariantes de janeiro a setembro poderão sacar o auxílio de R$600. Medidas provisórias já liberaram R$68 bilhões para prorrogar o auxílio e definiram o valor de R$300 para as próximas parcelas.",Caixa vai abrir 770 agências em todo o país no sábado para pagamento do auxílio emergencial do fgts. O funcionamento será das 8 horas da manhã ao meio-dia. Os trabalhadores nascidos de janeiro abriu vão poder fazer o saque espécie de até 1045 reais do benefício. Os que fazem aniversário de janeiro setembro poderão sacar o benefício de 600 reais.
O_0tWz69oSE,Os Pingos Nos Is - 09/09/20,há 150 milhões de reais do sistema s fluminense operação de hoje se chama esquema é esse é um desdobramento da lava-jato ela se baseia na delação premiada do ex-presidente da fecomércio orlando diniz controlava as entidades aquele que descemos ontem aqui também dela ator felipe santa cruz presidente da oab entre os alvos dos 50 mandados de busca apreensão estão os advogados cristiano zanin que trabalha na defesa do ex presidiário lula frederico assef advogado do senador flávio bolsonaro além disso o escritório de ana tereza basílio também está na mira da pf é apontada como uma das chefes do esquema que supostamente gerenciava propinas agentes públicos segundo as investigações também fazem parte da organização criminosa os advogados marcelo almeida roberto teixeira fernando hargreaves vladimir espíndola josé roberto sampaio eduardo martins filho do atual do superior tribunal de justiça ministro humberto martins foi implicado pela pf da mesma forma o ex-governador sérgio cabral ea esposa dele adriana ancelmo cristiano zanin que virou réu roberto teixeira são apontados pela denúncia da força-tarefa como responsáveis por reunir aprovar propostas de escritórios de advocacia nos postos blindagem,"A operação ""Esquema S"", um desdobramento da Lava Jato, investiga o desvio de R$150 milhões do Sistema S Fluminense, baseada na delação premiada de Orlando Diniz. Entre os alvos de mandados de busca e apreensão estão advogados como Cristiano Zanin e Frederico Assed, além de Eduardo Martins e o ex-governador Sérgio Cabral, apontados como parte de um esquema que gerenciava propinas a agentes públicos.","Lava-jato e Lava-Jato estão entre os alvos dos 50 mandados de busca e apreensão da PF. A delação premiada do ex-presidente da Fecomércio orlando diniz, que controlava as entidades, foi confirmada como chefe do esquema que supostamente gerenciava propinas agentes públicos. Além disso, o escritório de ana tereza basílio também está na mira da pf."
yTuU2HUlJOg,"Parrerito, do Trio Parada Dura, morre em BH vítima da covid-19",será enterrado hoje o corpo do cantor barrerito do trio parada dura em belo horizonte aos 67 anos diabético ele passou os últimos 16 dias internado com covid-19 barrerito fez história com diversas canções que embalaram os fãs do trio parada dura é mas covid-19 interrompeu os planos do artista que ainda fez uma live com o grupo antes de ser diagnosticado com doença antes seu chapéu chorando atualmente o trio parada dura era formado pelos músculos barrerito creone xonadão os outros dois integrantes da banda fizeram o exame testaram negativo para coronavírus esposa de barrerito também foi diagnosticada com cor 2019 mas se recuperava em casa os sertanejos estava internado nesse hospital particular em belo horizonte desde o dia 31 de agosto chegou à unidade com sintomas da doença por ser do grupo de risco pela idade diabético precisou ser mantido na uti o sertanejo começou apresentar melhoras durante semana mas na noite deste domingo o quadro de saúde piorou família tentou transferir o cantor para o hospital em são é mas os médicos disseram que ele estava bastante debilitado que viagem era um risco para o paciente as 10 horas da noite morte do cantor foi confirmada rapidamente notícia se espalhou nas redes sociais barrerito nasceu em são fidélis no rio de janeiro mas construiu carreira com trio parada dura em minas gerais ele morava com família em contagem na região metropolitana de belo horizonte o artista deixa esposa filhas netos,"O corpo do cantor Barrerito, do Trio Parada Dura, será enterrado hoje em Belo Horizonte. Aos 67 anos e diabético, ele passou 16 dias internado com COVID-19 antes de falecer. Barrerito, que construiu carreira em Minas Gerais, havia feito uma live com o grupo antes do diagnóstico. Sua esposa também foi diagnosticada com COVID-19, mas se recupera em casa.","Morre o cantor barrerito do trio parada dura em belo horizonte após 16 dias internado com covid-19. O cantor foi diagnosticado com Covid-19 e internado em um hospital particular em Belo Horizonte, mas o quadro de saúde piorou. A família tentou transferir o cantor para o hospital em São Paulo, mas os médicos disseram que ele estava bastante debilitado que viagem era um risco para o paciente."
KUF70LK36pc,Traficante Elias Maluco é encontrado morto na prisão,olá esse vídeo é um oferecimento redetv plus assine agora para ver todas as vantagens concorrer prêmios diariamente acesse www.retratus.com.br oi boa noite siqueira boa noite elenco muito boa noite você de casa siqueira foi encontrado morto hoje à tarde na cela do presídio federal de catanduvas no paraná o traficante elias pereira da silva mais conhecido como elias maluco ele tinha 54 anos ele estava preso desde 2002 acusado da morte do jornalista tim lopes ele também tinha outras acusações que somavam 46 anos de pena é uma nota enviada pelo depen que é o departamento penitenciário nacional informa que o corpo de elias foi encontrado na cela que o local foi preservado eles estavam aguardando uma equipe de perícia da polícia federal para fazer toda perícia no local que que essa perícia o corpo de elias maluco segue para o iml da cidade de cascavel também no paraná onde vai aguardar por um familiar para que seja feito um reconhecimento ea liberação do corpo vale lembrar ou cê queira que elias maluco foi um dos maiores traficantes aqui do rio de janeiro ele era um dos principais líderes da maior facção criminosa aqui do estado comandou por muitos anos o tráfico no complexo do alemão que é um complexo de favelas que fica na zona norte da cidade qualquer momento siqueira gente pode voltar com mais informações rodrigo assis direto do rio de janeiro para o alerta nas,"O traficante Elias Pereira da Silva, conhecido como Elias Maluco, foi encontrado morto na cela do presídio federal de Catanduvas, no Paraná, nesta tarde. A nota do Departamento Penitenciário Nacional (Depen) informa que o corpo foi preservado para perícia da Polícia Federal. Elias, de 54 anos, estava preso desde 2002, acusado da morte do jornalista Tim Lopes, e era um dos principais líderes da maior facção criminosa do Rio de Janeiro.",O traficante elias pereira da silva foi encontrado morto na cela do presídio federal de catanduvas no Pará. Ele tinha 54 anos e estava preso desde 2002 acusado da morte do jornalista tim lopes. Ele também tinha outras acusações que somavam 46 anos de pena.
_PGR_EK1dYE,#VazaJato: Deltan explica plano para desafeto não virar juiz da Lava Jato,eu falei com gisele é gisele falou que falou com corregedoria do tribunal com eliana eliana conversou com júlio júlio teria assumido um compromisso de desistir ouvido que levar para curitiba qualquer ideia ideia que ele até o dia 24 desista ou que existe um arranjo de modo que outra pessoa o segundo lugar o friedman que hoje é um segundo lugar depois do júlio vá para vara o júlio iria para o lugar do filho uma razão do júlio que ir para curitiba mesmo o fato ele tem uma namorada ali corregedoria falou que ele não tem perfil para ir para lá por ele tem um temperamento nesse diferente ele teria aceito ver com condição de que ele venha para curitiba em um lugar de outra pessoa é hoje o que precisaria fazer será convencer o nivaldo ou danilo aí para vara 13ª vara isso ajuda dia inclusive já tem umas oito que o danilo vai para lá é branca para uma vara criminal ela tá nova previdenciária aí bianca é para criminal o danilo vai para 13ª abrir é que vai no lugar dele para criminal o júlio deu para previdenciária todo mundo ficaria feliz vamos ver se pessoa acontecer você não tiver nenhuma surpresa até lá agora o povo seria focar agora no nivaldo no danilo agora tem mais um pouco ela falou o pessoal falou com o marcelo marcelo malucelli marcelo nova série também peremptoriamente nego ele não tá no páreo não vai entrar de jeito nenhum o número um também aquele bonatti não vai gisele não disse que disse que não quer ir mas ela te falou qualquer coisa tiver algum problema me liga ela deixou acho que uma abertura para comuns rodar de revela mas é eu até falei o óleo de qualquer modo se quiser ir gente vai ficar contente tal mas ela falou não é agora tamo conversando com as outra possibilidade mas ela o transporte totalmente vamos continuar tempo vamos para os próximos passos abraços,,"Entenda por que o júlio desiste de ir para curitiba. A corregedoria do tribunal disse que ele não tem perfil para ir para lá por ele ter um temperamento diferente e que ele teria aceitado ver com condição de que ele viesse para o lugar de outra pessoa. O que precisaria fazer é convencer o nivaldo ou danilo a ir para a 13a vara, que é branca para uma vara criminal."
